Url,Label,having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,URL_Depth,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic
http://superuser.com/questions/862530/3-pin-cpu-cooler-on-socket-1150-has-allways-only-constant-fixed-fan-speed,0,-1,1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
https://www.gov.uk/government/organisations/civil-service-government-economic-service,0,-1,1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
http://emgn.com/tv/watch-24-people-making-statues-so-much-better-than-they-were-before/,0,-1,1,-1,-1,-1,-1,-1,2,1,1,-1,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,1,1
http://slashdot.org/story/14/08/01/1643234/inside-bitfurys-20-megawatt-bitcoin-mine,0,-1,1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
http://buzzfil.net/article/5391/animaux/15-illustrations-si-vous-pouviez-lire-dans-les-pensees-des-chiens-vous-serez-surpris-de-toutes-les-espiegleries-dont-ils-sont-capables-1.html?href=inner_website,0,-1,1,-1,-1,-1,-1,-1,4,1,1,-1,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1
http://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90OL%E3%83%BB%E3%81%8A%E5%A7%89%E3%81%95%E3%82%93%E3%83%BB%E7%97%B4%E5%A5%B3%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2Fu0AAaZdEI1z8PA0e+%E4%BC%8A%E8%97%A4%E3%81%AF%E3%82%8B%E3%81%AA+%E7%84%A1%E4%BF%AE%E6%AD%A3+%23ero+%23douga+%23agesage,0,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
http://tobogo.net/cdsb/board.php?board=dailystory&bm=view&no=22382&category=&auth=&page=1&search=&keyword=&recom=,0,-1,1,-1,-1,-1,-1,-1,2,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1
http://sourceforge.net/directory/audio-video/add_facet_filter?facet=developmentstatus&constraint=2+-+Pre-Alpha,0,-1,1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
http://censor.net.ua/photo_news/334963/sbu_zaderjala_na_goryachem_terrorista_kota_kotoryyi_pytalsya_vzorvat_oboronnye_soorujeniya_harkova_foto,0,-1,1,-1,-1,-1,-1,-1,3,-1,1,-1,-1,0,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
http://udn.com/news/story/7264/898624-%E7%B4%8D%E8%B1%86%E3%80%81%E9%98%BF%E9%9B%85%E5%BA%B7%E7%86%99%E4%BB%A3%E7%8F%AD-%E6%94%B6%E8%A6%96%E8%B6%85%E8%B6%8A%E5%A4%A7%E5%B0%8FS,0,-1,1,-1,-1,-1,-1,-1,4,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
http://distractify.com/post/related/id/54183a7b4a0c4bd3048b73b5/skip/10/limit/10/back/0,0,-1,1,-1,-1,-1,-1,-1,10,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
http://fazenda.gov.br/divulgacao/noticias/2015/maio/201ca-lei-de-responsabilidade-fiscal-e-uma-das-instituicoes-mais-robustas-e-bem-estruturadas-do-brasil201d-diz-levy,0,-1,1,-1,-1,-1,-1,-1,5,1,1,-1,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,1,1,-1
http://askubuntu.com/questions/573656/how-can-i-mount-smb-drive-as-folder-with-chmod-777,0,-1,1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
http://depositphotos.com/33475111/stock-illustration-vector-abstract-infographics.html,0,-1,1,-1,-1,-1,-1,-1,2,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
http://tunein.com/radio/Frederick-Keys-at-Lynchburg-Hillcats-May-13-2015-p729090/15480783/ca-pub-1542925551861702/ProgramTopBanner,0,-1,1,-1,-1,-1,-1,-1,5,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
http://interpark.com/product/MallDisplay.do?_method=Detail&sc.shopNo=0000100000&sc.dispNo=001710249&sc.prdNo=3250882498,0,-1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
